Dist	Strength
202	309
202	308
202	308
202	308
202	310
202	309
202	308
202	309
202	309
202	309
202	310
202	308
202	309
202	309
202	310
202	308
202	308
202	309
202	308
202	308
202	309
202	308
202	308
202	309
202	308
202	309
202	308
202	309
202	309
202	309
202	308
202	308
202	309
202	308
202	309
202	309
202	309
202	309
202	309
202	309
202	310
202	309
202	309
202	309
202	308
202	309
202	309
202	309
202	309
202	307
202	309
202	309
202	308
202	309
202	309
202	308
202	309
202	309
202	309
202	309
202	309
202	308
202	308
202	309
202	309
202	309
202	307
202	309
202	308
202	309
202	309
202	308
202	308
202	308
202	309
202	307
202	309
202	308
202	308
202	308
202	310
202	308
202	309
202	308
202	307
202	308
202	308
202	308
202	309
202	308
202	308
202	308
202	309
202	309
202	309
202	308
202	308
202	308
202	308
202	308
202	309
202	308
202	309
202	308
202	308
202	308
202	309
202	308
202	308
202	308
202	309
202	309
202	309
202	308
202	309
202	308
202	309
202	309
202	308
202	310
202	308
202	307
202	308
202	309
202	309
202	308
202	308
202	309
202	308
202	308
202	309
202	308
202	308
202	309
202	309
202	308
202	309
202	308
202	308
202	308
202	308
202	308
202	307
202	308
202	309
202	308
202	308
202	308
202	308
202	308
202	309
202	309
202	308
202	308
202	309
202	308
202	308
202	308
202	308
202	308
202	309
202	308
202	309
202	308
202	308
202	308
202	308
202	309
202	309
202	309
202	308
202	308
202	308
202	309
202	308
202	308
202	308
202	308
202	309
202	308
202	309
202	308
202	308
202	308
202	308
202	307
202	308
202	308
202	308
202	308
202	308
202	308
202	308
202	308
202	308
202	306
202	309
202	308
202	307
202	307
202	308
202	308
202	309
202	308
202	308
202	307
202	307
202	308
202	308
202	307
202	308
202	308
202	308
202	308
202	309
202	307
202	308
202	307
202	308
202	308
202	308
202	307
202	308
202	307
202	307
202	308
202	308
202	307
202	307
202	308
202	308
202	309
202	307
202	308
202	307
202	308
202	308
202	307
202	309
202	307
202	307
202	308
202	307
202	307
202	309
202	308
202	308
202	308
202	308
202	307
202	308
202	308
202	308
202	308
202	308
202	307
202	308
202	308
202	308
202	309
202	307
202	308
202	308
202	308
202	307
202	307
202	308
202	308
202	308
202	307
202	308
202	309
202	307
202	308
202	309
202	308
202	308
202	307
202	307
202	309
202	308
202	309
202	307
202	307
202	309
202	308
202	308
202	307
202	308
202	309
202	307
202	307
202	308
202	308
202	308
202	307
202	308
202	308
202	308
202	308
202	309
202	308
202	307
202	308
202	308
202	308
202	307
202	308
202	308
202	307
202	307
202	306
202	308
202	307
202	307
202	308
202	308
202	306
202	308
202	308
202	307
202	308
202	308
202	308
202	307
202	307
202	307
202	308
202	308
202	307
202	307
202	308
202	307
202	308
202	308
202	308
202	307
202	308
202	307
202	307
202	308
202	307
202	308
202	307
202	307
202	307
202	308
202	307
202	307
202	307
202	308
202	308
202	307
202	308
202	307
202	306
202	307
202	307
202	308
202	307
202	307
202	307
202	307
202	306
202	308
202	307
202	307
202	307
202	307
202	307
202	308
202	307
202	307
202	307
202	307
202	306
202	308
202	307
202	308
202	308
202	307
202	307
202	307
202	308
202	306
202	307
202	307
202	307
202	308
202	307
202	307
202	306
202	307
202	307
202	307
202	307
202	308
202	307
202	308
202	308
202	307
202	308
202	307
202	308
202	307
202	306
202	307
202	307
202	306
202	306
202	307
202	307
202	308
202	307
202	308
202	308
202	308
202	307
202	307
202	307
202	307
202	307
202	308
202	307
202	308
202	308
202	307
202	308
202	307
202	306
202	307
202	307
202	307
202	308
202	307
202	308
202	306
202	306
202	306
202	308
