Dist	Strength
268	35
270	35
268	35
270	35
270	35
269	35
268	35
267	35
267	35
267	35
268	35
269	35
266	35
267	35
267	35
269	35
266	35
269	35
267	35
269	35
267	35
268	35
269	35
270	35
267	35
270	35
268	35
267	35
269	35
268	35
270	35
267	35
267	35
267	35
268	35
268	35
269	35
266	35
268	35
266	35
268	35
268	35
267	35
270	35
269	35
269	35
269	35
269	35
268	35
269	35
268	35
270	35
269	36
270	35
269	35
269	35
268	35
270	35
267	35
266	34
268	35
269	35
269	35
267	35
270	35
268	35
268	35
270	35
268	35
270	35
268	35
269	35
270	35
266	35
270	35
269	35
269	35
268	35
267	35
272	35
269	35
268	35
268	35
268	35
269	35
268	35
268	35
268	35
268	35
270	35
268	35
268	35
269	35
268	35
266	35
269	35
269	35
269	35
267	35
270	35
269	35
268	35
268	35
269	35
269	35
268	35
268	35
269	35
268	35
268	35
269	35
267	35
267	35
268	35
269	35
267	35
270	35
268	35
266	35
270	35
268	35
267	35
269	35
268	35
268	35
267	35
268	35
268	35
269	35
268	35
267	35
268	35
268	35
269	35
267	35
267	35
268	35
272	35
268	35
269	35
267	35
268	35
270	35
268	35
268	35
270	35
270	35
268	35
272	35
270	35
269	35
267	35
269	35
269	35
269	35
270	35
267	34
269	35
268	35
270	35
268	35
268	35
269	35
269	35
269	35
268	35
268	35
268	35
268	35
268	35
267	35
268	35
269	35
269	35
269	35
266	35
269	35
268	35
268	35
268	35
270	35
268	35
270	35
267	35
267	35
268	35
269	35
270	35
269	35
267	35
267	35
266	35
269	35
268	35
269	35
268	35
268	35
269	35
268	35
267	35
267	35
269	35
269	35
268	35
267	35
269	35
269	35
268	35
267	35
268	35
270	35
268	35
267	35
269	35
269	35
268	35
268	35
269	35
270	35
268	35
267	35
268	35
268	35
269	35
268	35
267	35
267	35
268	35
267	35
270	35
268	35
268	35
269	34
270	35
267	34
269	35
268	35
267	35
268	35
269	35
269	35
267	34
268	35
268	35
268	35
268	35
267	35
270	35
267	35
268	35
268	35
269	35
270	35
267	35
268	35
267	35
269	35
267	35
269	35
268	35
266	35
267	35
268	35
269	35
268	35
268	35
269	35
268	35
268	35
268	35
266	34
267	35
268	35
269	35
268	35
267	35
269	35
269	34
267	35
267	35
269	35
268	35
268	35
269	35
269	35
269	35
268	35
269	35
268	35
267	35
269	35
268	35
267	35
269	35
268	35
270	35
267	35
266	35
270	35
268	35
268	35
269	35
268	35
266	35
270	35
268	35
268	35
268	35
268	35
269	34
268	35
267	35
267	35
269	35
269	35
269	35
270	35
269	35
269	35
267	35
269	35
268	34
270	35
268	34
268	35
269	35
270	35
268	35
268	35
268	35
267	35
268	35
267	35
269	35
268	35
270	35
270	35
269	35
269	35
270	35
268	35
269	35
266	34
268	35
266	34
269	35
268	35
268	35
268	35
267	35
268	35
268	35
268	35
268	35
268	35
268	35
268	35
266	35
267	35
269	34
268	35
268	35
268	35
268	35
268	35
268	35
269	35
268	35
268	35
268	35
269	35
268	34
266	35
267	35
268	35
270	35
267	34
268	35
268	35
267	35
268	35
269	35
268	35
269	35
268	35
269	35
269	35
269	34
269	34
267	35
269	35
269	35
269	35
268	35
268	35
267	35
268	35
270	35
267	35
268	34
269	35
269	35
270	35
269	35
268	35
268	35
269	35
269	35
268	35
266	35
268	35
267	35
269	35
268	35
269	35
267	35
267	35
268	35
269	35
269	35
269	35
268	34
267	34
268	35
268	35
267	35
269	35
269	35
268	34
270	35
267	35
268	35
269	35
270	35
269	35
269	35
268	35
268	35
268	35
268	35
270	35
267	35
267	34
268	35
266	35
268	35
267	35
269	35
268	35
268	34
269	35
270	35
268	35
267	34
